ར་བ་ཐེ།	Rabat
ཨཱལ་ཇི་ཡར་སི།	Alger
ཊུ་ནིསི།	Tunis
ཐི་རི་ཕོ་ལི	Tripoli
ཇི་བའོ་ཊི། (གྲོང་རྡལ།)	Djibouti (by)
ཏེ་ཧི་རན།	Teheran
ཨ་ཌི་སི་ཨ་བ་བ།	Addis Abeba
ཊ་ཁར་ཏ།	Jakarta
ཨན་ཁ་ར།	Ankara
ཨཱ་སི་མི་ར།	Asmara
ཇ་མི་ན།	N'Djamena
ནི་ཡ་མེ།	Niamey
ནའུ་ཀ་ཅོ་ཊི།	Nouakchott
རིས་ཡག	Riyadh
བ་མ་ཀོ།	Bamako
བེལ་གེ་རེ་ཌི།	Beograd
ཌ་ཀར།	Dakar
བཱན་ཇཱུ་ལ།	Banjul
ཀོ་ནཀ་རི།	Conakry
བི་སའོ།	Bissau
Category:སྒྲོམ་གཞི།	Kategori:Maler
མོང་རོ་ཝི་ཡ།	Monrovia
ཕུ་ར་ཡ།	Praia
ཇ་ཝ།	Java (øy)
ཨ་ཁ་ར།	Accra
དྷ་མ་སི་ཁོ་སི།	Damaskus
ཡམ་སོ་ཁེ་རོ།	Yamoussoukro
ཨོ་འ་ག་དོའུ་གོའུ།	Ouagadougou
ཕིརི་ཊའུན།	Freetown
ཡ་མ་སོན་གཙང་པོ།	Amazonas
ཨ་པུ་ཅ།	Abuja
ལཱོ་མེ།	Lomé
པོར་ཊོ་-ནོ་བོ།	Porto-Novo
ཨམ་མན།	Amman
ཡོན་དྷི།	Yaoundé
མ་ལ་བོ།	Malabo
པེ་རུ་ཐེ།	Beirut
ལིབ་རེ་ཝིལ།	Libreville
མི་སི་ཁ་ཁྲི།	Muskat (Oman)
བང་གུའི།	Bangui
ཀིན་ཤ་ས།	Kinshasa
བ་ར་ཛ་བི་ལི།	Brazzaville
བུ་ཇུམ་བུ་ར།	Bujumbura
ནེ་ཁོ་ཤི་ཡ།	Nikosia
ཀི་ག་ལི།	Kigali
དྷོ་ཧ།	Doha
ནའི་རོ་བི།	Nairobi
